"Hi! This is the spreadsheet for amberpica's unoffical ""early letters"" post. (I am not amberpica, just a friendly anonymous Yuletider.) There will be a 2nd letters post starting on the 17th. Happy Yuletiding!",,,,,,,,
"[Newbies: Do post your letter again in the 2nd letters post on the 17th! :) This spreadsheet will stay up, but it's okay to post in that letters post as well. And welcome to Yuletide. <3]",,,,,,,,
,,"""Early Letters"" Post: http://yuletide.livejournal.com/1203132.html",,,,,,
,Kivrin,http://kivrin.dreamwidth.org/449202.html,Foyle's War,Adam Dalgliesh series - P.D. James,QI RPF,Fake News RPF,,
,Cousin Shelley,http://cousinshelley.livejournal.com/386815.html,Touching Evil (US),Sleepy Hollow (TV),Legit (TV 2013),House of Cards (US TV),The Blacklist (TV),Hemlock Grove
,spock,http://daken.dreamwidth.org/1202.html,"Paris, je t'aime (2006)",Penny Dreadful (TV),Tennis RPF,Warrior (2011),,
,galerian_ash,http://galerian-ash.livejournal.com/61439.html,Backdraft (1991),Fly Daddy Fly (2005),Rambo Series (Movies),The Silent Flute | Circle Of Iron (1978),,
,nausicaa,http://nausikaa.dreamwidth.org/270.html,Strange Frame: Love & Sax (2012),Brooklyn Nine-Nine (TV),Lighthouse - Hush Sound (Song),Scooby Doo! Mystery Incorporated (TV 2010),,
,originally,http://originally.livejournal.com/83390.html,Tales of Dunk and Egg - George R. R. Martin,Ripper Street,Rivers of London - Ben Aaronovitch,Peaky Blinders (TV),Dishonored (Video Game),Penny Dreadful (TV)
,shewhoguards,http://googlebrat.livejournal.com/646442.html,Young Wizards - Diane Duane,Exiles - Melanie Rawn,The Chronicles of Chrestomanci - Diana Wynne Jones,The Queen's Thief - Megan Whalen Turner,Ender Series - Orson Scott Card,Pandemic (Board Game)
,APgeeksout,http://apgeeksout.livejournal.com/104281.html,Banshee,Hart of Dixie,Hellblazer,The Last Policeman,NXT,
,blueteak,http://blueteak.livejournal.com/18708.html,Backdraft (1991),The Dublin Murder Squad Series--Tana French,The Hollow Crown (2012),Miss Fisher's Murder Mysteries,,
,kissoffools,http://kissoffools.livejournal.com/177776.html,21 Jump Street (movies),Last 5 Years - Brown,Neighbors (2014),Orphan Black RPF,,
,Bond_Girl,http://bond-girl.livejournal.com/188338.html,Boardwalk Empire,Elementary,Pacific Rim RPF,,,
Page 4,turtlebook,http://turtlebook.livejournal.com/625.html,Constantine (2005),Lost in Space (1998),Seven Brides for Seven Brothers (1954),,,
,NightsMistress,http://batman.dreamwidth.org/16577.html,Coven of Three,Craft Sequence,Old Kingdom,Super Dangan Ronpa 2,Tales of Xillia,Young Wizards
,TheFierceBeast,http://thefiercebeast.livejournal.com/743.html,Tombstone,Cocorosie 'Gallows' video,Stockholm Syndrome - Richard Rider,Scaramouche - Rafael Sabatini,Being Human UK,
,Morbane,http://morbane.dreamwidth.org/18054.html,Kisa the Cat (Brown Fairy Book - Andrew Lang),Sleeping Beauty (1959),Chalice - Robin McKinley,Dragonriders of Pern - Anne McCaffrey,I Feel Possessed - Crowded House (Song),
,lonelywalker,http://lonelywalker.dreamwidth.org/198888.html,American Renaissance RPF,Aristotle and Dante Discover the Secrets of the Universe - Benjamin Alire Sáenz,The Art of Fielding – Chad Harbach,Death by Silver - Amy Griswold and Melissa Scott,Penny Dreadful,Those Who Kill (US TV)
,thisisthemorning,http://thisisthemorning.dreamwidth.org/549.html,Bandits (1997),The Lego Movie,Emelan - Tamora Pierce,Black Books,,
,Rekall,http://rekall.dreamwidth.org/203507.html,Guardians of the Galaxy (Comics),The Authority,Secret Avengers,Inhuman (Comics),Dark Wolverine (Comics),X-Force (Comics)
,devilinacardigan,http://devlinacardigan.livejournal.com/57553.html,The Craft (1996),Fingersmith (TV),The Mummy Series,Penny Dreadful (TV),The Tenant of Wildfell Hall (TV 1996),
,Melody_Jade,http://melody-jade.dreamwidth.org/1000.html,Women of the Otherworld - Kelley Armstrong,Jiàn Yǔ | Reign of Assassins (2010),As the World Turns,The Menagerie Series - Christopher Golden and Thomas E. Sniegoski,,
,perdiccas,http://perdiccas.livejournal.com/567462.html,Nikita (TV 2010),Salem (TV),Bates Motel (2013),,,
,radialarch,http://radialarch.livejournal.com/9003.html,Captain America (movies) RPF,Kings (TV 2009),A Study in Emerald - Neil Gaiman,,,
,penitence_road,http://penitence-road.livejournal.com/3260.html,Kurosagi Shitai Takuhaibin | Kurosagi Corpse Delivery Service,Giant Robo,Small Gods - Terry Pratchett,,,
,rainbowkitten,http://rainbowkitten05.livejournal.com/575.html,Big Brother RPF,America's Next Top Model RPF,American Horror Story: Murder House,,,
,linndechir,http://linndechir.livejournal.com/55968.html,Rivers of London - Ben Aaronovitch,Welcome to the Punch (2013),Mob City,,,
,Settiai,http://settiai.dreamwidth.org/2163724.html,Gargoyles (TV),Gummi Bears (TV),Hand of Isis - Jo Graham,Kara: a PS3 new technology,Peacemakers (2003),Treasure Planet (2002)
,sevenofspade,http://dhampyresa.dreamwidth.org/50233.html,Bloodhound Files - D. D. Barant,Dans les Prisons de Nantes (Song),Locke & Key,Punic Wars RPF,Spider-Man (Ultimateverse),
